! note: initial lines of file can contain comments
!
            60 -- model for mesa/star, with cell boundary velocities (v), with angular velocities (omega), with convection velocities (conv_vel). cgs units. lnd=ln(density), lnT=ln(temperature), lnR=ln(radius), L=luminosity, dq=fraction of total mstar in cell; remaining cols are mass fractions.

                          M/Msun      1.2120676762883630D+01
                    model_number                            5819
                        star_age      1.5405478059032502D+07
                       initial_z      3.4000000000000024D-04
                        n_shells                            1993
                        net_name   'approx21.net'
                         species                              21
                            time      4.8616838716216894D+14

                lnd                        lnT                        lnR                          L                  dq                          v                      omega                   conv_vel                   neut                       h1                         prot                       he3                        he4                        c12                        n14                        o16                        ne20                       mg24                       si28                       s32                        ar36                       ca40                       ti44                       cr48                       cr56                       fe52                       fe54                       fe56                       ni56     
  947     8.5933664734071530D+00     2.0006597137552328D+01     2.2441550773551353D+01     2.0743504754930444D+39     6.3719356658865278D-04    -1.7242485318182834D+06     4.0625571512590790D-03     3.8959244369716149D+00     5.4000357168844361D-24     0.0000000000000000D+00     1.7590204977806842D-18     2.3834042571104201D-38     4.3786166864731335D-05     3.5841097825420429D-02     4.0606754629203072D-11     6.6731947666241886D-01     2.7474493697333972D-01     2.1521306498985386D-02     5.0681894526399249D-04     5.1212869197966872D-06     9.8151746275131781D-07     7.5918210308275755D-07     3.6483511543493438D-13     1.4730974184926122D-20     1.6762132716258657D-69     7.1997230434468981D-29     9.0369158718408613D-07     1.4811208662463881D-05     2.2980812524601503D-22 
  948     8.5966609592325102D+00     2.0007785214966875D+01     2.2440240555888046D+01     2.0734893413163550D+39     6.3719356658865278D-04    -1.7258466280707853D+06     4.0627928688241015D-03     5.2213655819551600D+00     5.4003430434129136D-24     0.0000000000000000D+00     1.7617701016975484D-18     2.4409686805648393D-38     4.3558445480749306D-05     3.5835040472782373D-02     4.0569459267604175D-11     6.6731739986561358D-01     2.7475080413640364D-01     2.1523716095886338D-02     5.0690401391426034D-04     5.1213290237594346D-06     9.8151760057738606D-07     7.5918211053085133D-07     3.6500887155457921D-13     1.4752011581294137D-20     1.7926615484347234D-69     7.2193679095612024D-29     9.0369158718401205D-07     1.4811208662463959D-05     2.3030988202570457D-22 
  949     8.5999540864108983D+00     2.0008972764774277D+01     2.2438929502800255D+01     2.0726229160122442D+39     6.3719356658865278D-04    -1.7274419230581061D+06     4.0630525338872596D-03     8.7636618000288635D+00     5.4006351031839150D-24     0.0000000000000000D+00     1.7643725532895533D-18     2.4963672108043075D-38     4.3344130511049625D-05     3.5829326087328250D-02     4.0534401512593856D-11     6.6731544044307069D-01     2.7475633557882321D-01     2.1525992353759035D-02     5.0698439667910504D-04     5.1213688308353741D-06     9.8151773086930074D-07     7.5918211757371603D-07     3.6517317817125625D-13     1.4771929315204108D-20     1.9093557374685820D-69     7.2379952713285700D-29     9.0369158718394206D-07     1.4811208662464034D-05     2.3078476500560340D-22 
  950     8.6032458801286644D+00     2.0010159795964317D+01     2.2437617608673883D+01     2.0717626260053241D+39     6.3719356658865278D-04    -1.7290344236057666D+06     4.0632964626691698D-03     7.3215659036057401D+00     5.4009297123255954D-24     0.0000000000000000D+00     1.7669877205226248D-18     2.5531288824555526D-38     4.3129929514726912D-05     3.5823601497488688D-02     4.0499402348761783D-11     6.6731347736806130D-01     2.7476187353410237D-01     2.1528275574601063D-02     5.0706504633976017D-04     5.1214087912179468D-06     9.8151786164846583D-07     7.5918212464472860D-07     3.6533814530213311D-13     1.4791950272820506D-20     2.0331160427276504D-69     7.2567458053550835D-29     9.0369158718387154D-07     1.4811208662464110D-05     2.3126194906032244D-22 
  951     8.6065363544198252D+00     2.0011346313466229D+01     2.2436304867895695D+01     2.0709027057658797D+39     6.3719356658865278D-04    -1.7306241301600100D+06     4.0635361395919922D-03     7.3225531259724210D+00     5.4012254835932944D-24     0.0000000000000000D+00     1.7696032542777677D-18     2.6109828516243247D-38     4.2916845639867418D-05     3.5817893659440200D-02     4.0464625290637750D-11     6.6731151988724786D-01     2.7476739194589909D-01     2.1530554989495955D-02     5.0714558235675797D-04     5.1214487162889152D-06     9.8151799229761245D-07     7.5918213171050830D-07     3.6550299416873803D-13     1.4811979935764725D-20     2.1637150076134892D-69     7.2755310701748232D-29     9.0369158718380067D-07     1.4811208662464181D-05     2.3173918144442664D-22 
  952     8.6098255244297199D+00     2.0012532322526230D+01     2.2434991274838562D+01     2.0700420362902227D+39     6.3719356658865278D-04    -1.7322110471174374D+06     4.0637728602344873D-03     6.5072875739253657D+00     5.4015226747655606D-24     0.0000000000000000D+00     1.7722214466219292D-18     2.6699976751120408D-38     4.2704680129129704D-05     3.5812197413918980D-02     4.0430037358303207D-11     6.6730956623955641D-01     2.7477289583454180D-01     2.1532832625719029D-02     5.0722607618592103D-04     5.1214886413063611D-06     9.8151812293221212D-07     7.5918213877728648D-07     3.6566787011011112D-13     1.4832035851494578D-20     2.3016055198920586D-69     7.2943674768036004D-29     9.0369158718373014D-07     1.4811208662464261D-05     2.3221688102478981D-22 
  953     8.6131134054100666D+00     2.0013717828359536D+01     2.2433676823862800D+01     2.0691793536961817D+39     6.3719356658865278D-04    -1.7337951745559621D+06     4.0640093672293646D-03     6.1755661452502845D+00     5.4018215457916332D-24     0.0000000000000000D+00     1.7748445713313509D-18     2.7302468816675067D-38     4.2493240258797824D-05     3.5806507709819843D-02     4.0395606712925520D-11     6.6730761470047648D-01     2.7477839010259574D-01     2.1535110478599595D-02     5.0730659823774155D-04     5.1215286010915397D-06     9.8151825366625367D-07     7.5918214585121841D-07     3.6583291676826248D-13     1.4852135449866581D-20     2.4472809417464129D-69     7.3132714275895098D-29     9.0369158718365927D-07     1.4811208662464330D-05     2.3269546325443921D-22 
  954     8.6164000111872933D+00     2.0014902835607744D+01     2.2432361509316183D+01     2.0683136685099383D+39     6.3719356658876380D-04    -1.7353765219900704D+06     4.0642450849810316D-03     6.0662486089511489D+00     5.4021196577943975D-24     8.6183166901479744D-43     1.7774513355931280D-18     2.7911992700978411D-38     4.2284216339746274D-05     3.5800870405890825D-02     4.0361607650700372D-11     6.6730568099908360D-01     2.7478383053959776D-01     2.1537370132310722D-02     5.0738649699150890D-04     5.1215682719492887D-06     9.8151838344095487D-07     7.5918215287498442D-07     3.6599679667072493D-13     1.4872115510411476D-20     2.5998426485189995D-69     7.3320890972166905D-29     9.0369158718358821D-07     1.4811208662464392D-05     2.3317104411330604D-22 
  955     8.6196853601199627D+00     2.0016087350441642D+01     2.2431045325531933D+01     2.0674476656605125D+39     6.3719356658865278D-04    -1.7369550939402595D+06     4.0644866069874963D-03     6.8341549276810900D+00     5.4024224821175614D-24     0.0000000000000000D+00     1.7800895088430415D-18     2.8540951019920548D-38     4.2073782336635421D-05     3.5795182197315331D-02     4.0327417727655410D-11     6.6730372972522351D-01     2.7478931682863310D-01     2.1539652980122010D-02     5.0746723637055533D-04     5.1216083807623906D-06     9.8151851463412516D-07     7.5918215997727864D-07     3.6616251256897291D-13     1.4892342218437377D-20     2.7625380100738405D-69     7.3511655564836226D-29     9.0369158718351734D-07     1.4811208662464469D-05     2.3365233919944721D-22 
  956     8.6229769205325741D+00     2.0017274079077993D+01     2.2429728266834572D+01     2.0665769617489893D+39     6.4010410724735988D-04    -1.7385308941484076D+06     4.0647296801028840D-03     1.0025553929175468D+01     5.4027236898991626D-24     0.0000000000000000D+00     1.7827039503789070D-18     2.9175057659400746D-38     4.1866318790643752D-05     3.5789561856645870D-02     4.0293748146935577D-11     6.6730180160359378D-01     2.7479473446109192D-01     2.1541911340612456D-02     5.0754712945432745D-04     5.1216480893980760D-06     9.8151864450435191D-07     7.5918216700968184D-07     3.6632660140400292D-13     1.4912392819084625D-20     2.9323721482433517D-69     7.3701020950712576D-29     9.0369158718344646D-07     1.4811208662464543D-05     2.3412928949058007D-22 
  957     8.6262747850247230D+00     2.0018463025685191D+01     2.2428404305434916D+01     2.0657005770931040D+39     6.4010410724719335D-04    -1.7401111134920810D+06     4.0649657237443896D-03     8.3880970606378557D+00     5.4030249464408939D-24     0.0000000000000000D+00     1.7853093562459710D-18     2.9817974559242772D-38     4.1660624254223819D-05     3.5783977251487915D-02     4.0260402564326129D-11     6.6729988562484052D-01     2.7480011451322456D-01     2.1544158027757687D-02     5.0762662898833035D-04     5.1216876222473093D-06     9.8151877378594480D-07     7.5918217401190215D-07     3.6648998958403629D-13     1.4932379875062203D-20     3.1104947760472407D-69     7.3890043573614327D-29     9.0369158718337683D-07     1.4811208662464625D-05     2.3460457693197929D-22 
  958     8.6295714257730473D+00     2.0019651489677827D+01     2.2427079449582030D+01     2.0648220485107948D+39     6.4010410724719335D-04    -1.7416885566521990D+06     4.0651997747163175D-03     7.6374501768765297D+00     5.4033265554356679D-24     0.0000000000000000D+00     1.7879084871818813D-18     3.0470500833886777D-38     4.1456457365476344D-05     3.5778422115852706D-02     4.0227340918765666D-11     6.6729797964969082D-01     2.7480546308912017D-01     2.1546395497514989D-02     5.0770582150613625D-04     5.1217270219376187D-06     9.8151890261856191D-07     7.5918218099146770D-07     3.6665285274118848D-13     1.4952324486123870D-20     3.2973872149426450D-69     7.4078919256267612D-29     9.0369158718330648D-07     1.4811208662464697D-05     2.3507870590807362D-22 
  959     8.6328668577010283D+00     2.0020839475578444D+01     2.2425753693480250D+01     2.0639402303797420D+39     6.4010410724719335D-04    -1.7432632256902484D+06     4.0654332929208081D-03     8.1231850402270264D+00     5.4036264849988544D-24     0.0000000000000000D+00     1.7904840238622004D-18     3.1127703418209855D-38     4.1255145473518988D-05     3.5772933026360700D-02     4.0194777007622342D-11     6.6729609622635308D-01     2.7481074506821836D-01     2.1548608943259641D-02     5.0778418227828971D-04     5.1217660268887037D-06     9.8151903014720875D-07     7.5918218790201530D-07     3.6681410891016126D-13     1.4972093637514078D-20     3.4920403222872113D-69     7.4266383081527012D-29     9.0369158718323703D-07     1.4811208662464769D-05     2.3554851786880135D-22 
  960     8.6361610966681148D+00     2.0022026988020336D+01     2.2424427031319633D+01     2.0630553220201424D+39     6.4010410724719335D-04    -1.7448351399667356D+06     4.0656644530190702D-03     8.0110817765449162D+00     5.4039238075683515D-24     0.0000000000000000D+00     1.7930283273473648D-18     3.1787027600698749D-38     4.1057239143589008D-05     3.5767525596889893D-02     4.0162798257317566D-11     6.6729424071528216D-01     2.7481594556289357D-01     2.1550791955626973D-02     5.0786148351060731D-04     5.1218045229166762D-06     9.8151915599908505D-07     7.5918219472327583D-07     3.6697328497364067D-13     1.4991628497093289D-20     3.6939646445717966D-69     7.4451868168656840D-29     9.0369158718316793D-07     1.4811208662464836D-05     2.3601262034307368D-22 
  961     8.6394541592423248D+00     2.0023214031568103D+01     2.2423099457277060D+01     2.0621672110514186D+39     6.4010410724719335D-04    -1.7464043072099784D+06     4.0658939421186168D-03     7.4203819117154345D+00     5.4042174315904514D-24     0.0000000000000000D+00     1.7955324476391762D-18     3.2445360513117837D-38     4.0863381104213072D-05     3.5762218079587015D-02     4.0131506679693247D-11     6.6729241938121308D-01     2.7482104717800970D-01     2.1552937036812278D-02     5.0793745866776651D-04     5.1218423763609397D-06     9.8151927973785220D-07     7.5918220143152064D-07     3.6712982704514223D-13     1.5010860109424870D-20     3.9024485637733441D-69     7.4634708983921251D-29     9.0369158718310025D-07     1.4811208662464903D-05     2.3646938179232366D-22 
  962     8.6427460636771868D+00     2.0024400610581993D+01     2.2421770965517020D+01     2.0612755480526647D+39     6.4010410724719335D-04    -1.7479707362934949D+06     4.0661239898098529D-03     7.2294157318479603D+00     5.4045055815092597D-24     0.0000000000000000D+00     1.7979817213408956D-18     3.3097696582589741D-38     4.0674642900442687D-05     3.5757040642498321D-02     4.0101073101876707D-11     6.6729064257466843D-01     2.7482602110563725D-01     2.1555031843304561D-02     5.0801166929661905D-04     5.1218793676649481D-06     9.8151940064655089D-07     7.5918220798778630D-07     3.6728282570905430D-13     1.5029675565618310D-20     4.1161422871413719D-69     7.4813818808509351D-29     9.0369158718303363D-07     1.4811208662464967D-05     2.3691612863723841D-22 
  963     8.6460368303843537D+00     2.0025586728607831D+01     2.2420441550193745D+01     2.0603789190422161D+39     6.4010410724708233D-04    -1.7495344457874670D+06     4.0663599274039254D-03     7.3329820352216286D+00     5.4047863596278071D-24     0.0000000000000000D+00     1.8003605986815394D-18     3.3738463014438853D-38     4.0492148282156428D-05     3.5752025081392186D-02     4.0071676252696484D-11     6.6728892120380054D-01     2.7483083702325701D-01     2.1557063333683808D-02     5.0808365189845785D-04     5.1219152644824248D-06     9.8151951796663308D-07     7.5918221435082955D-07     3.6743131825903394D-13     1.5047955052809882D-20     4.3334027573069926D-69     7.4988041003397505D-29     9.0369158718296880D-07     1.4811208662465022D-05     2.3735002575914014D-22 
  964     8.6493264813395622D+00     2.0026772389056350D+01     2.2419111205453985D+01     2.0594770860105038D+39     6.4010410724708233D-04    -1.7510954456124636D+06     4.0666112835923469D-03     7.4451435202368250D+00     5.4050583389500479D-24     0.0000000000000000D+00     1.8026575853444422D-18     3.4363157196592633D-38     4.0316704297646790D-05     3.5747194538686937D-02     4.0043443638525006D-11     6.6728726320933828D-01     2.7483547293487613D-01     2.1559021953933275D-02     5.0815306645923037D-04     5.1219498959183926D-06     9.8151963114048417D-07     7.5918222049029546D-07     3.6757459602713615D-13     1.5065609878161863D-20     4.5528402854756073D-69     7.5156513667964279D-29     9.0369158718290805D-07     1.4811208662465107D-05     2.3776897776674661D-22 
  965     8.6526150517441351D+00     2.0027957597523777D+01     2.2417779925438963D+01     2.0585738508261806D+39     6.4010410724719335D-04    -1.7526537512797393D+06     4.0668920655528451D-03     3.8866386112497792D+00     5.4053365204669567D-24     0.0000000000000000D+00     1.8049987366975086D-18     3.5012029114275726D-38     4.0138773196810744D-05     3.5742284889494535D-02     4.0014842158833632D-11     6.6728557802923003D-01     2.7484018205344376D-01     2.1561014911802405D-02     5.0822371506685621D-04     5.1219851600914996D-06     9.8151974637019900D-07     7.5918222674273723D-07     3.6772051349082106D-13     1.5083609315777959D-20     4.7878906723823693D-69     7.5328503896720757D-29     9.0369158718284499D-07     1.4811208662465169D-05     2.3819597595395718D-22 
  966     8.6559022183497678D+00     2.0029142471864820D+01     2.2416447704301964D+01     2.0578647101509806D+39     6.4010410724719335D-04    -1.7542093772517201D+06     4.0672118484429811D-03     3.6468898401648335D+00     5.4058153836975080D-24     0.0000000000000000D+00     1.8090109187221944D-18     3.6223826820650169D-38     3.9836137287335660D-05     3.5733900769284359D-02     3.9966256894181984D-11     6.6728270138922392D-01     2.7484821679235995D-01     2.1564422652341717D-02     5.0834457121520566D-04     5.1220455225417342D-06     9.8151994358556997D-07     7.5918223744692525D-07     3.6797033123302869D-13     1.5114467397528201D-20     5.2169677531008078D-69     7.5623863048694222D-29     9.0369158718273663D-07     1.4811208662465289D-05     2.3892773202541106D-22 
  967     8.6591876827285751D+00     2.0030326940274516D+01     2.2415114535729570D+01     2.0570204197705801D+39     6.4010410724708233D-04    -1.7557623454963215D+06     4.0675082736464096D-03     8.3700594286572176D+00     5.4060139267239319D-24     0.0000000000000000D+00     1.8106663043331842D-18     3.6625181111203657D-38     3.9711562660948915D-05     3.5730455003952776D-02     3.9946297485826306D-11     6.6728151733757874D-01     2.7485151788803943D-01     2.1565826157501946D-02     5.0839433704011494D-04     5.1220703949654504D-06     9.8152002483662919D-07     7.5918224185838072D-07     3.6807329029426663D-13     1.5127204273695554D-20     5.4069281966142686D-69     7.5746002359588322D-29     9.0369158718269133D-07     1.4811208662465324D-05     2.3922963867170095D-22 
  968     8.6624720533008154D+00     2.0031510927278395D+01     2.2413780412971529D+01     2.0560339172602986D+39     6.4010410724719335D-04    -1.7573126647188028D+06     4.0676447856637789D-03     5.8953850590158056D+00     5.4060145721236363D-24     0.0000000000000000D+00     1.8106716662694271D-18     3.6605345165245184D-38     3.9711048885735857D-05     3.5730443872127581D-02     3.9946217306128746D-11     6.6728151316392345D-01     2.7485152885804655D-01     2.1565830845594313D-02     5.0839449811585231D-04     5.1220704754625412D-06     9.8152002509955185D-07     7.5918224187265881D-07     3.6807362353858215D-13     1.5127245540872104D-20     5.4075726035853559D-69     7.5746398590013743D-29     9.0369158718269169D-07     1.4811208662465329D-05     2.3923061641879503D-22 
  969     8.6657564277312779D+00     2.0032694565330748D+01     2.2412445330050894D+01     2.0552665039416737D+39     6.4010410724708233D-04    -1.7588603588280998D+06     4.0677244506668346D-03     2.0980871774516565D+01     5.4069903327501309D-24     1.2665021676870669D-43     1.8187783335873096D-18     3.9192405369956411D-38     3.9107064351790254D-05     3.5713617480557657D-02     3.9849505162552517D-11     6.6727574043306043D-01     2.7486763096157007D-01     2.1572688371982757D-02     5.0863785316036809D-04     5.1221921628746285D-06     9.8152042257577765D-07     7.5918226345837700D-07     3.6857742418323997D-13     1.5189638351834833D-20     6.3851988577251681D-69     7.6345526450548772D-29     9.0369158718247248D-07     1.4811208662465553D-05     2.4070907449763931D-22 
  970     8.6690389824797868D+00     2.0033877655747085D+01     2.2411109282424224D+01     2.0541428573991700D+39     6.4010410724719335D-04    -1.7604054420538133D+06     4.0678047782985906D-03     1.7501973779813893D+01     5.4069919236474861D-24     0.0000000000000000D+00     1.8187915092568774D-18     3.9171435622738819D-38     3.9105957672895685D-05     3.5713590197977658D-02     3.9849330968513294D-11     6.6727573067114098D-01     2.7486765741680212D-01     2.1572699672578643D-02     5.0863824831277151D-04     5.1221923604978343D-06     9.8152042322121353D-07     7.5918226349343500D-07     3.6857824244921659D-13     1.5189739783731699D-20     6.3868612338939616D-69     7.6346501583203831D-29     9.0369158718247248D-07     1.4811208662465553D-05     2.4071147723061407D-22 
  971     8.6723210936840882D+00     2.0035060404632458D+01     2.2409772263077960D+01     2.0533658135985817D+39     6.4010410724708233D-04    -1.7619479373563631D+06     4.0680674251122690D-03     1.2843360367617999D+01     5.4076662494894334D-24     0.0000000000000000D+00     1.8243155837717857D-18     4.1003457668543434D-38     3.8702217149744097D-05     3.5702252430590277D-02     3.9784970431026597D-11     6.6727183988077989D-01     2.7487848260119025D-01     2.1577341821557824D-02     5.0880313038830324D-04     5.1222749689099229D-06     9.8152069293812775D-07     7.5918227815456074D-07     3.6892045617763393D-13     1.5232305893386730D-20     7.1969669532371574D-69     7.6757460244452158D-29     9.0369158718232309D-07     1.4811208662465709D-05     2.4171887054498277D-22 
  972     8.6756090445520062D+00     2.0036245246401223D+01     2.2408434266800978D+01     2.0522653751294237D+39     6.4293671241539485D-04    -1.7634878621367830D+06     4.0683148936633042D-03     1.0074521928891231D+01     5.4076777695296218D-24     0.0000000000000000D+00     1.8244095349638477D-18     4.0972045463518114D-38     3.8695072486979483D-05     3.5702060284198604D-02     3.9783840996872328D-11     6.6727177294119695D-01     2.7487866682217534D-01     2.1577421030328753D-02     5.0880592986266828D-04     5.1222763722228696D-06     9.8152069751930532D-07     7.5918227840365464D-07     3.6892627058234053D-13     1.5233030111859592D-20     7.2116019542485947D-69     7.6764464252196837D-29     9.0369158718232061D-07     1.4811208662465713D-05     2.4173600321271777D-22 
  973     8.6789035365230731D+00     2.0037432382002928D+01     2.2407089359566763D+01     2.0514988216996559D+39     6.4293671241539485D-04    -1.7650320380806386D+06     4.0685319572112046D-03     5.7433567514664680D+00     5.4081884278371292D-24     0.0000000000000000D+00     1.8285533632017113D-18     4.2422585290254710D-38     3.8396311554475456D-05     3.5693619917225252D-02     3.9736358606161847D-11     6.6726887649698687D-01     2.7488671263646646D-01     2.1580887520174085D-02     5.0892913586678449D-04     5.1223381819600710D-06     9.8152089927107351D-07     7.5918228937727283D-07     3.6918242731231245D-13     1.5264986371287781D-20     7.9011660950712458D-69     7.7074122936929274D-29     9.0369158718220852D-07     1.4811208662465826D-05     2.4249166220078768D-22 
  974     8.6821969726653804D+00     2.0038619099566989D+01     2.2405743454410362D+01     2.0505581820148290D+39     6.4293671241539485D-04    -1.7665736602908737D+06     4.0688787101350509D-03     1.3747899723178609D+01     5.4086065497514699D-24     0.0000000000000000D+00     1.8319283320780385D-18     4.3582021747179480D-38     3.8154536167829204D-05     3.5686774631820852D-02     3.9698005771916280D-11     6.6726652659910259D-01     2.7489323286741953D-01     2.1583704067741589D-02     5.0902926561701180D-04     5.1223884517259223D-06     9.8152106332937663D-07     7.5918229830380461D-07     3.6939080586188248D-13     1.5291025204221959D-20     8.5058376128811179D-69     7.7326961942513046D-29     9.0369158718211846D-07     1.4811208662465933D-05     2.4310710413544827D-22 
  975     8.6854889770987355D+00     2.0039805391215992D+01     2.2404396545124369D+01     2.0495926810638223D+39     6.4293671241550587D-04    -1.7681127570870403D+06     4.0690488036782799D-03     7.9372529663806457D+00     5.4086069999920800D-24     0.0000000000000000D+00     1.8319319541335364D-18     4.3553271522257093D-38     3.8154127511688527D-05     3.5686767301605297D-02     3.9697945433910328D-11     6.6726652361389202D-01     2.7489324026871271D-01     2.1583707283003161D-02     5.0902937309047047D-04     5.1223885056417488D-06     9.8152106350529919D-07     7.5918229831337855D-07     3.6939102935359335D-13     1.5291053156198683D-20     8.5065129931184078D-69     7.7327233656957954D-29     9.0369158718211810D-07     1.4811208662465928D-05     2.4310776446275812D-22 
  976     8.6887804353958131D+00     2.0040991320579690D+01     2.2403048624955705D+01     2.0487260675551959D+39     6.4293671241539485D-04    -1.7696493493710072D+06     4.0692148591643801D-03     7.0698336793627332D+00     5.4090211966460017D-24     0.0000000000000000D+00     1.8352520321853969D-18     4.4733175784188201D-38     3.7918614335618712D-05     3.5680070714268334D-02     3.9660670289797149D-11     6.6726422475911109D-01     2.7489961137739644D-01     2.1586468858238379D-02     5.0912759497302833D-04     5.1224378653504842D-06     9.8152122455983761D-07     7.5918230708050371D-07     3.6959569573794537D-13     1.5316683902396894D-20     9.1612660097477771D-69     7.7576786916276851D-29     9.0369158718202751D-07     1.4811208662466011D-05     2.4371318650477022D-22 
  977     8.6920709061814172D+00     2.0042176856557221D+01     2.2401699688306830D+01     2.0477947882840150D+39     6.4293671241550587D-04    -1.7711834620458224D+06     4.0695076927165807D-03     9.9775328128490929D+00     5.4093927512109534D-24     0.0000000000000000D+00     1.8382175310418846D-18     4.5846121646186466D-38     3.7709718350922121D-05     3.5674109863451826D-02     3.9627649206172170D-11     6.6726217906033102D-01     2.7490527785119067D-01     2.1588930208076870D-02     5.0921517276584387D-04     5.1224819025196728D-06     9.8152136822897091D-07     7.5918231490346697D-07     3.6977832581118756D-13     1.5339585878509387D-20     9.7813253579851568D-69     7.7800146775172187D-29     9.0369158718194793D-07     1.4811208662466097D-05     2.4425394575083592D-22 
  978     8.6953604220460611D+00     2.0043362010970549D+01     2.2400349728948891D+01     2.0468728710839974D+39     6.4293671241550587D-04    -1.7727151210640188D+06     4.0697888008023666D-03     8.8557587491138711D+00     5.4097605026530475D-24     0.0000000000000000D+00     1.8411410461994442D-18     4.6965616442218651D-38     3.7504943649155917D-05     3.5668252047352413D-02     3.9595321640306879D-11     6.6726016875627145D-01     2.7491084259916886D-01     2.1591352113555259D-02     5.0930137068551069D-04     5.1225252698547283D-06     9.8152150969581057D-07     7.5918232260853617D-07     3.6995820808799959D-13     1.5362171453319383D-20     1.0426749791463201D-68     7.8020763994627531D-29     9.0369158718186941D-07     1.4811208662466186D-05     2.4478704556625112D-22 
  979     8.6986490228719333D+00     2.0044546798304470D+01     2.2398998740658835D+01     2.0459649895873379D+39     6.4293671241550587D-04    -1.7742443524778932D+06     4.0700627905172428D-03     1.0967933271208001D+01     5.4101792523833314D-24     0.0000000000000000D+00     1.8444560134606327D-18     4.8277909486600094D-38     3.7274224734759551D-05     3.5661632196748618D-02     3.9558945646595788D-11     6.6725789724983073D-01     2.7491712648425949D-01     2.1594092683538863D-02     5.0939894231898366D-04     5.1225743883172114D-06     9.8152166990275624D-07     7.5918233133672172D-07     3.7016198142410918D-13     1.5387790642518544D-20     1.1202235450176012D-68     7.8271427816723768D-29     9.0369158718178006D-07     1.4811208662466279D-05     2.4539152277318079D-22 
  980     8.7019366310333960D+00     2.0045731190618316D+01     2.2397646717229267D+01     2.0449977832859778D+39     6.4293671241561689D-04    -1.7757711783634391D+06     4.0702551757447640D-03     9.7342076384201092D+00     5.4104470899104670D-24     0.0000000000000000D+00     1.8465691835854824D-18     4.9088775627257925D-38     3.7127635611280194D-05     3.5657423633682543D-02     3.9535867207363356D-11     6.6725645248301868D-01     2.7492111976976514D-01     2.1595837172681826D-02     5.0946105530438998D-04     5.1226056711751466D-06     9.8152177192584879D-07     7.5918233689624532D-07     3.7029178012801913D-13     1.5404126782928846D-20     1.1720018548507236D-68     7.8431476270070188D-29     9.0369158718172162D-07     1.4811208662466325D-05     2.4577685317422366D-22 
  981     8.7052234022718941D+00     2.0046915243183058D+01     2.2396293652309209D+01     2.0441150142817257D+39     6.4293671241550587D-04    -1.7772956292575841D+06     4.0704465970223289D-03     8.3743032585091814D+00     5.4108701330287356D-24     0.0000000000000000D+00     1.8498957298607411D-18     5.0452516560558571D-38     3.6898331929069327D-05     3.5650816256985531D-02     3.9499794129277621D-11     6.6725418538623113D-01     2.7492738454024969D-01     2.1598578486198345D-02     5.0955869913599176D-04     5.1226548721195088D-06     9.8152193236907017D-07     7.5918234564118529D-07     3.7049595327054083D-13     1.5429850718133131D-20     1.2573849380054595D-68     7.8683832443032315D-29     9.0369158718163280D-07     1.4811208662466437D-05     2.4638343787581340D-22 
  982     8.7085092584190171D+00     2.0048098928503765D+01     2.2394939539719680D+01     2.0431738670967249D+39     6.4293671241550587D-04    -1.7788177320029738D+06     4.0707215410376011D-03     1.1040035732592294D+01     5.4112493921402782D-24     0.0000000000000000D+00     1.8528655774453770D-18     5.1684605098245395D-38     3.6694773400229490D-05     3.5644937027946732D-02     3.9467817571113169D-11     6.6725216800495044D-01     2.7493295507313333D-01     2.1601021053126800D-02     5.0964572417708895D-04     5.1226987480032377D-06     9.8152207542918556D-07     7.5918235344080997D-07     3.7067806042617141D-13     1.5452824850129718D-20     1.3381445343994455D-68     7.8909584876864933D-29     9.0369158718155286D-07     1.4811208662466519D-05     2.4692497850478729D-22 
  983     8.7117942336243707D+00     2.0049282258945551D+01     2.2393584373137240D+01     2.0422430499258967D+39     6.4293671241561689D-04    -1.7803375152514115D+06     4.0709909915502873D-03     1.7562384221565856D+01     5.4116283586123765D-24     0.0000000000000000D+00     1.8558218330747974D-18     5.2935278623910368D-38     3.6493250437005260D-05     3.5639102547918191D-02     3.9436200953458220D-11     6.6725016604655893D-01     2.7493847954997652D-01     2.1603448002445255D-02     5.0973221565001924D-04     5.1227423781664986D-06     9.8152221767152774D-07     7.5918236119780413D-07     3.7085917666751266D-13     1.5475701641558101D-20     1.4229134786027801D-68     7.9134721487855737D-29     9.0369158718147257D-07     1.4811208662466592D-05     2.4746404030019668D-22 
  984     8.7150783433857998D+00     2.0050465240148631D+01     2.2392228146245560D+01     2.0413109933480040D+39     6.4293671241561689D-04    -1.7818550087359675D+06     4.0712537523690714D-03     1.7700104900432425D+01     5.4120096215652138D-24     0.0000000000000000D+00     1.8587848698099307D-18     5.4213980947488868D-38     3.6292352296872012D-05     3.5633272209124342D-02     3.9404721646682784D-11     6.6724816559756030D-01     2.7494399649284662D-01     2.1605876144980844D-02     5.0981877237240125D-04     5.1227860641858713D-06     9.8152236007961608D-07     7.5918236896576418D-07     3.7104055323556313D-13     1.5498638636607655D-20     1.5124369006121673D-68     7.9360787711987752D-29     9.0369158718139264D-07     1.4811208662466681D-05     2.4800433886313006D-22 
