! note: initial lines of file can contain comments
!
            60 -- model for mesa/star, with cell boundary velocities (v), with angular velocities (omega), with convection velocities (conv_vel). cgs units. lnd=ln(density), lnT=ln(temperature), lnR=ln(radius), L=luminosity, dq=fraction of total mstar in cell; remaining cols are mass fractions.

                          M/Msun      1.2120676762883630D+01
                    model_number                            5819
                        star_age      1.5405478059032502D+07
                       initial_z      3.4000000000000024D-04
                        n_shells                            1993
                        net_name   'approx21.net'
                         species                              21
                            time      4.8616838716216894D+14

                lnd                        lnT                        lnR                          L                  dq                          v                      omega                   conv_vel                   neut                       h1                         prot                       he3                        he4                        c12                        n14                        o16                        ne20                       mg24                       si28                       s32                        ar36                       ca40                       ti44                       cr48                       cr56                       fe52                       fe54                       fe56                       ni56     
   21    -1.4602312818401235D+01     1.2746838125083534D+01     2.3971765374264304D+01     1.1620424876913935D+39     5.0715243391256086D-13     0.0000000000000000D+00     3.7327565854433895D-03     1.1943772684571243D+06     1.0301331472933363D-99     4.3850467131410297D-31     1.0301331473906132D-99     1.2035479287802894D-30     4.4720814444387695D-02     3.0594810478530285D-01     1.7124594466009215D-08     6.4768693354762350D-01     1.5523864823860233D-03     6.0993439704356164D-05     8.2784694513319081D-06     5.0166223617129235D-06     9.8101760550415466D-07     7.5916633275839284D-07     2.4170433740345891D-22     8.2601328949718784D-41     1.0301331473419752D-99     1.7809184002015312D-61     9.0369158723151592D-07     1.4811208662413532D-05     1.0190395785951498D-99 
   22    -1.4520460940719313D+01     1.2767132058604289D+01     2.3971640203438178D+01     1.1623415848707299D+39     5.0715243391256246D-13     0.0000000000000000D+00     3.7328566865453338D-03     7.7494842993437531D+05     1.0301331472933361D-99     4.3850467079289918D-31     1.0301331473906132D-99     1.2035479272093658D-30     4.4720814444107928D-02     3.0594810478476062D-01     1.7124594465861465D-08     6.4768693354843698D-01     1.5523864823944000D-03     6.0993439704500227D-05     8.2784694513319223D-06     5.0166223617129244D-06     9.8101760550415502D-07     7.5916633275839338D-07     2.4170433740602388D-22     8.2601328951356656D-41     1.0301331473419754D-99     1.7809184002545059D-61     9.0369158723151556D-07     1.4811208662413537D-05     1.0190390314062602D-99 
   23    -1.4436373038518659D+01     1.2790442001294242D+01     2.3971524828361729D+01     1.1626352735871976D+39     7.6072865086880741D-13     0.0000000000000000D+00     3.7329553796168166D-03     6.3366424135868886D+05     1.0301331472933363D-99     4.3850467020357681D-31     1.0301331473906132D-99     1.2035479254331318D-30     4.4720814443791594D-02     3.0594810478414746D-01     1.7124594465694407D-08     6.4768693354935678D-01     1.5523864824038698D-03     6.0993439704663154D-05     8.2784694513319365D-06     5.0166223617129261D-06     9.8101760550415448D-07     7.5916633275839293D-07     2.4170433740892431D-22     8.2601328953208543D-41     1.0301331473419756D-99     1.7809184003144043D-61     9.0369158723151592D-07     1.4811208662413535D-05     1.0190384126446683D-99 
   24    -1.4328401462050639D+01     1.2815553950383393D+01     2.3971365657635592D+01     1.1630717880406691D+39     7.6072865086882437D-13     0.0000000000000000D+00     3.7330925802939232D-03     7.9910310075626718D+05     1.0301331472933368D-99     4.3850466959188709D-31     1.0301331473906139D-99     1.2035479235894797D-30     4.4720814443463279D-02     3.0594810478351113D-01     1.7124594465521003D-08     6.4768693355031157D-01     1.5523864824137003D-03     6.0993439704832264D-05     8.2784694513319649D-06     5.0166223617129297D-06     9.8101760550415590D-07     7.5916633275839320D-07     2.4170433741193475D-22     8.2601328955130686D-41     1.0301331473419772D-99     1.7809184003765774D-61     9.0369158723151699D-07     1.4811208662413544D-05     1.0190377703068411D-99 
   25    -1.4245563412732320D+01     1.2834638417082198D+01     2.3971222712773769D+01     1.1634373495929939D+39     5.0715243391259798D-13     0.0000000000000000D+00     3.7332080327334447D-03     8.6934904753260706D+05     1.0301331472933368D-99     4.3850466906021532D-31     1.0301331473906134D-99     1.2035479219870048D-30     4.4720814443177880D-02     3.0594810478295793D-01     1.7124594465370275D-08     6.4768693355114148D-01     1.5523864824222430D-03     6.0993439704979213D-05     8.2784694513319703D-06     5.0166223617129261D-06     9.8101760550415519D-07     7.5916633275839302D-07     2.4170433741455115D-22     8.2601328956801403D-41     1.0301331473419756D-99     1.7809184004306146D-61     9.0369158723151610D-07     1.4811208662413544D-05     1.0190372119283859D-99 
   26    -1.4177522352990587D+01     1.2856755248003830D+01     2.3971134961896018D+01     1.1636499657993191D+39     1.0661727303844015D-12     0.0000000000000000D+00     3.7332802984581694D-03     4.4777039029910934D+05     1.0301331472933377D-99     4.3850466827387259D-31     1.0301331473906136D-99     1.2035479196169442D-30     4.4720814442755809D-02     3.0594810478213974D-01     1.7124594465147382D-08     6.4768693355236868D-01     1.5523864824348794D-03     6.0993439705196612D-05     8.2784694513319934D-06     5.0166223617129270D-06     9.8101760550415573D-07     7.5916633275839320D-07     2.4170433741842107D-22     8.2601328959272457D-41     1.0301331473419761D-99     1.7809184005105384D-61     9.0369158723151645D-07     1.4811208662413544D-05     1.0190363860186992D-99 
   27    -1.4062510360069255D+01     1.2883421642708050D+01     2.3970962552812107D+01     1.1641220376252983D+39     1.0661727303843402D-12     0.0000000000000000D+00     3.7334289972507894D-03     6.0700211496793583D+05     1.0301331472933363D-99     4.3850466740673859D-31     1.0301331473906132D-99     1.2035479170033751D-30     4.4720814442290333D-02     3.0594810478123739D-01     1.7124594464901557D-08     6.4768693355372244D-01     1.5523864824488128D-03     6.0993439705436260D-05     8.2784694513320058D-06     5.0166223617129208D-06     9.8101760550415484D-07     7.5916633275839258D-07     2.4170433742268846D-22     8.2601328961997229D-41     1.0301331473419756D-99     1.7809184005986726D-61     9.0369158723151628D-07     1.4811208662413539D-05     1.0190354750734893D-99 
   28    -1.3966594796042059D+01     1.2907526821951860D+01     2.3970808799830320D+01     1.1645402834129421D+39     1.0661727303843757D-12     0.0000000000000000D+00     3.7335548166973420D-03     6.2844882624124158D+05     1.0301331472933374D-99     4.3850466654043032D-31     1.0301331473906143D-99     1.2035479143922978D-30     4.4720814441825318D-02     3.0594810478033607D-01     1.7124594464655977D-08     6.4768693355507478D-01     1.5523864824627349D-03     6.0993439705675793D-05     8.2784694513320307D-06     5.0166223617129226D-06     9.8101760550415608D-07     7.5916633275839258D-07     2.4170433742695203D-22     8.2601328964719602D-41     1.0301331473419765D-99     1.7809184006867246D-61     9.0369158723151574D-07     1.4811208662413537D-05     1.0190345648420284D-99 
   29    -1.3881514059568085D+01     1.2929470081709109D+01     2.3970669047470805D+01     1.1648917192528571D+39     1.0661727303843659D-12     0.0000000000000000D+00     3.7336654909788022D-03     5.9758623827234451D+05     1.0301331472933372D-99     4.3850466564360734D-31     1.0301331473906132D-99     1.2035479116892473D-30     4.4720814441343934D-02     3.0594810477940281D-01     1.7124594464401741D-08     6.4768693355647455D-01     1.5523864824771456D-03     6.0993439705923622D-05     8.2784694513320538D-06     5.0166223617129235D-06     9.8101760550415519D-07     7.5916633275839222D-07     2.4170433743136539D-22     8.2601328967537774D-41     1.0301331473419761D-99     1.7809184007778764D-61     9.0369158723151610D-07     1.4811208662413539D-05     1.0190336223965092D-99 
   30    -1.3808222923154311D+01     1.2948127905715942D+01     2.3970540641935880D+01     1.1652044268390466D+39     9.0768759478660587D-13     0.0000000000000000D+00     3.7337632764721750D-03     5.7236311384432454D+05     1.0301331472933381D-99     4.3850466477936969D-31     1.0301331473906143D-99     1.2035479090844087D-30     4.4720814440880012D-02     3.0594810477850358D-01     1.7124594464156754D-08     6.4768693355782378D-01     1.5523864824910353D-03     6.0993439706162595D-05     8.2784694513320964D-06     5.0166223617129288D-06     9.8101760550415679D-07     7.5916633275839346D-07     2.4170433743561869D-22     8.2601328970253611D-41     1.0301331473419776D-99     1.7809184008657197D-61     9.0369158723151716D-07     1.4811208662413557D-05     1.0190327140433603D-99 
   31    -1.3733920735723177D+01     1.2972011559199323D+01     2.3970439014143347D+01     1.1654544157215140D+39     1.8153751895731971D-12     0.0000000000000000D+00     3.7338389675160512D-03     5.1095796200315248D+05     1.0301331472933370D-99     4.3850466371523664D-31     1.0301331473906134D-99     1.2035479058770803D-30     4.4720814440308798D-02     3.0594810477739620D-01     1.7124594463855091D-08     6.4768693355948494D-01     1.5523864825081337D-03     6.0993439706456733D-05     8.2784694513321053D-06     5.0166223617129261D-06     9.8101760550415573D-07     7.5916633275839222D-07     2.4170433744085539D-22     8.2601328973597460D-41     1.0301331473419763D-99     1.7809184009738759D-61     9.0369158723151645D-07     1.4811208662413544D-05     1.0190315954286177D-99 
